Date,Category,Description,DayOfWeek,PdDistrict,Resolution
2013-09-03 8:00:00,BURGLARY,BURGLARY OF APARTMENT HOUSE; UNLAWFUL ENTRY,Tuesday,INGLESIDE,NONE
2009-10-27 8:00:00,OTHER OFFENSES,RESISTING ARREST,Tuesday,BAYVIEW,NONE
2008-06-11 12:25:00,LARCENY\/THEFT,GRAND THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE
2013-06-02 21:15:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE
2008-11-15 11:25:00,ASSAULT,THREATS AGAINST LIFE,Saturday,TENDERLOIN,"ARREST, BOOKED"
2005-06-29 9:49:00,OTHER OFFENSES,RESISTING ARREST,Wednesday,NORTHERN,"ARREST, BOOKED"
2014-11-13 14:18:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,MISSION,"ARREST, BOOKED"
2007-02-07 10:05:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,MISSION,NONE
2008-06-15 10:00:00,LARCENY\/THEFT,PETTY THEFT FROM A BUILDING,Sunday,CENTRAL,NONE
2007-07-09 13:00:00,NON-CRIMINAL,AIDED CASE; MENTAL DISTURBED,Monday,INGLESIDE,NONE
2009-11-09 13:00:00,LARCENY\/THEFT,GRAND THEFT FROM A BUILDING,Monday,MISSION,NONE
2005-12-30 17:30:00,VEHICLE THEFT,VEHICLE; RECOVERED; AUTO,Friday,INGLESIDE,NONE
2005-05-21 17:16:00,NON-CRIMINAL,AIDED CASE,Saturday,TENDERLOIN,NONE
2003-03-31 10:25:00,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Monday,INGLESIDE,NONE
2007-06-11 12:35:00,OTHER OFFENSES,DRIVERS LICENSE; SUSPENDED OR REVOKED,Monday,SOUTHERN,"ARREST, CITED"
2014-10-31 10:00:00,LARCENY\/THEFT,PETTY THEFT OF PROPERTY,Friday,TARAVAL,NONE
2014-02-21 7:15:00,NON-CRIMINAL,LOST PROPERTY,Friday,CENTRAL,NONE
2013-08-24 1:30:00,LARCENY\/THEFT,GRAND THEFT FROM PERSON,Saturday,NORTHERN,NONE
2008-02-07 21:10:00,DRUG\/NARCOTIC,SALE OF BASE\/ROCK COCAINE,Thursday,TENDERLOIN,"ARREST, BOOKED"
2013-05-17 13:45:00,OTHER OFFENSES,DRIVERS LICENSE; SUSPENDED OR REVOKED,Friday,BAYVIEW,"ARREST, CITED"
2008-08-08 23:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,TARAVAL,NONE
2012-12-15 4:30:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,NORTHERN,"ARREST, CITED"
2006-03-23 22:30:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM OF VEHICLES,Thursday,BAYVIEW,NONE
2009-04-03 15:32:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Friday,TENDERLOIN,"ARREST, BOOKED"
2011-02-12 16:55:00,LARCENY\/THEFT,PETTY THEFT SHOPLIFTING,Saturday,MISSION,"ARREST, CITED"
2003-05-14 17:55:00,ASSAULT,UNLAWFUL DISSUADING\/THREATENING OF A WITNESS,Wednesday,BAYVIEW,NONE
2005-01-26 17:18:00,DRUG\/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,SOUTHERN,NONE
2013-09-16 21:05:00,ASSAULT,BATTERY,Monday,NORTHERN,NONE
2010-05-17 17:30:00,MISSING PERSON,MISSING JUVENILE,Monday,BAYVIEW,LOCATED
2011-07-26 16:15:00,OTHER OFFENSES,CONSPIRACY,Tuesday,PARK,"ARREST, BOOKED"
2006-11-19 1:44:00,BURGLARY,BURGLARY;APT UNDER CONSTRUCTION; ATT. FORCIBLE,Sunday,MISSION,"ARREST, BOOKED"
2008-07-22 12:25:00,OTHER OFFENSES,DRIVERS LICENSE; SUSPENDED OR REVOKED,Tuesday,INGLESIDE,"ARREST, CITED"
2013-09-18 9:00:00,ASSAULT,THREATENING PHONE CALL(S),Wednesday,RICHMOND,NONE
2013-02-04 6:35:00,TRESPASS,LODGING WITHOUT PERMISSION,Monday,TENDERLOIN,"ARREST, CITED"
2008-01-10 22:00:00,LARCENY\/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE
2014-11-26 19:00:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM OF VEHICLES,Wednesday,SOUTHERN,NONE
2008-12-14 13:00:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Sunday,INGLESIDE,NONE
2008-04-30 0:01:00,FRAUD,CREDIT CARD; THEFT BY USE OF,Wednesday,CENTRAL,NONE
2004-12-12 0:01:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM OF VEHICLES,Sunday,PARK,NONE
2008-09-01 7:55:00,OTHER OFFENSES,PAROLE VIOLATION,Monday,INGLESIDE,"ARREST, BOOKED"
2013-08-20 21:00:00,LARCENY\/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE
2010-11-17 8:00:00,ASSAULT,BATTERY,Wednesday,MISSION,NONE
2003-07-21 19:09:00,WARRANTS,WARRANT ARREST,Monday,TARAVAL,"ARREST, BOOKED"
2005-07-13 20:40:00,ASSAULT,BATTERY,Wednesday,SOUTHERN,"ARREST, BOOKED"
2010-11-20 15:00:00,LARCENY\/THEFT,GRAND THEFT PICKPOCKET,Saturday,CENTRAL,NONE
2003-02-20 15:03:00,WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED"
2005-07-29 15:30:00,OTHER OFFENSES,DRIVERS LICENSE; SUSPENDED OR REVOKED,Friday,PARK,"ARREST, CITED"
2005-02-26 1:00:00,BURGLARY,BURGLARY OF APARTMENT HOUSE; FORCIBLE ENTRY,Saturday,NORTHERN,NONE
2008-09-15 13:15:00,DRUG\/NARCOTIC,POSSESSION OF BASE\/ROCK COCAINE FOR SALE,Monday,TENDERLOIN,"ARREST, BOOKED"
2005-03-24 0:17:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Thursday,TENDERLOIN,"ARREST, BOOKED"
2011-04-06 9:40:00,ASSAULT,BATTERY,Wednesday,TARAVAL,EXCEPTIONAL CLEARANCE
2014-03-03 9:54:00,NON-CRIMINAL,AIDED CASE; MENTAL DISTURBED,Monday,MISSION,PSYCHOPATHIC CASE
2010-01-17 18:00:00,ASSAULT,BATTERY,Sunday,NORTHERN,NONE
2003-04-16 0:01:00,FRAUD,FALSE PRETENSES; GRAND THEFT,Wednesday,SOUTHERN,NONE
2009-10-15 17:18:00,LARCENY\/THEFT,GRAND THEFT FROM PERSON,Thursday,CENTRAL,NONE
2003-05-14 12:00:00,NON-CRIMINAL,DEATH REPORT; CAUSE UNKNOWN,Wednesday,NORTHERN,NONE
2012-08-21 19:50:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM OF VEHICLES,Tuesday,SOUTHERN,NONE
2004-12-20 16:00:00,FORGERY\/COUNTERFEITING,MONEY; CHANGING FACE AMOUNT,Monday,TENDERLOIN,PROSECUTED BY OUTSIDE AGENCY
2012-06-02 17:00:00,LARCENY\/THEFT,PETTY THEFT FROM A BUILDING,Saturday,NORTHERN,NONE
2013-09-21 6:20:00,ASSAULT,BATTERY; FORMER SPOUSE OR DATING RELATIONSHIP,Saturday,MISSION,COMPLAINANT REFUSES TO PROSECUTE
2012-05-02 1:25:00,NON-CRIMINAL,STAY AWAY OR COURT ORDER; NON-DV RELATED,Wednesday,MISSION,"ARREST, BOOKED"
2015-04-19 13:35:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,INGLESIDE,NONE
2010-10-20 2:47:00,BURGLARY,BURGLARY OF RESIDENCE; UNLAWFUL ENTRY,Wednesday,CENTRAL,NONE
2003-01-11 1:38:00,OTHER OFFENSES,RECKLESS DRIVING,Saturday,SOUTHERN,"ARREST, BOOKED"
2009-09-15 12:30:00,LARCENY\/THEFT,PETTY THEFT WITH PRIOR,Tuesday,MISSION,"ARREST, BOOKED"
2005-01-28 13:00:00,BURGLARY,BURGLARY; HOT PROWL; FORCIBLE ENTRY,Friday,MISSION,NONE
2005-01-29 20:00:00,NON-CRIMINAL,LOST PROPERTY,Saturday,MISSION,NONE
2005-05-17 1:07:00,DRUG\/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Tuesday,SOUTHERN,"ARREST, BOOKED"
2007-01-24 17:41:00,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Wednesday,INGLESIDE,NONE
2014-03-08 18:14:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,BAYVIEW,NOT PROSECUTED
2011-02-27 15:30:00,LARCENY\/THEFT,GRAND THEFT PICKPOCKET,Sunday,CENTRAL,NONE
2004-08-18 10:02:00,FRAUD,FALSE ID TO PEACE OFFICER,Wednesday,SOUTHERN,"ARREST, BOOKED"
2006-12-15 0:30:00,TRESPASS,TRESPASSING,Friday,CENTRAL,"ARREST, BOOKED"
2003-07-26 12:00:00,LARCENY\/THEFT,GRAND THEFT OF PROPERTY,Saturday,INGLESIDE,NONE
2003-09-20 18:30:00,MISSING PERSON,FOUND PERSON,Saturday,TARAVAL,NONE
2014-04-04 18:00:00,VEHICLE THEFT,STOLEN TRUCK,Friday,RICHMOND,NONE
2013-06-12 22:02:00,LARCENY\/THEFT,GRAND THEFT FROM PERSON,Wednesday,NORTHERN,NONE
2003-06-01 19:38:00,ASSAULT,BATTERY,Sunday,INGLESIDE,NONE
2012-11-12 15:59:00,LARCENY\/THEFT,PETTY THEFT SHOPLIFTING,Monday,TENDERLOIN,"ARREST, BOOKED"
2009-09-03 10:00:00,NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE
2005-01-15 14:20:00,DRUG\/NARCOTIC,CONTROLLED SUBSTANCE VIOLATION; LOITERING FOR,Saturday,TENDERLOIN,"ARREST, BOOKED"
2010-12-13 14:15:00,LARCENY\/THEFT,GRAND THEFT FROM PERSON,Monday,TARAVAL,NONE
2007-04-22 9:31:00,TRESPASS,TRESPASSING,Sunday,INGLESIDE,"ARREST, BOOKED"
2013-02-20 19:20:00,PROSTITUTION,PANDERING,Wednesday,MISSION,NONE
2012-05-18 17:30:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Friday,SOUTHERN,NONE
2010-06-18 11:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,BAYVIEW,NONE
2009-04-18 2:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,SOUTHERN,NONE
2006-07-24 22:00:00,ASSAULT,THREATS AGAINST LIFE,Monday,BAYVIEW,NONE
2008-11-13 21:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,BAYVIEW,NONE
2012-11-01 1:30:00,LARCENY\/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
2007-09-19 9:30:00,LARCENY\/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE
2011-01-11 21:17:00,ASSAULT,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE,Tuesday,SOUTHERN,UNFOUNDED
2006-06-16 18:00:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM OF VEHICLES,Friday,NORTHERN,NONE
2014-04-03 9:00:00,ASSAULT,THREATS AGAINST LIFE,Thursday,PARK,NONE
2013-03-04 18:32:00,LARCENY\/THEFT,GRAND THEFT OF PROPERTY,Monday,SOUTHERN,NONE
2013-11-03 8:14:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Sunday,INGLESIDE,NONE
2009-07-08 18:00:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM OF VEHICLES,Wednesday,SOUTHERN,NONE
2003-04-18 11:30:00,FRAUD,CREDIT CARD; THEFT BY USE OF,Friday,SOUTHERN,NONE
2012-02-21 15:00:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM,Tuesday,INGLESIDE,NONE
2010-02-10 6:45:00,LARCENY\/THEFT,GRAND THEFT BICYCLE,Wednesday,CENTRAL,NONE
2006-07-12 12:30:00,MISSING PERSON,FOUND PERSON,Wednesday,TARAVAL,NONE
2014-04-29 13:40:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,TARAVAL,"ARREST, CITED"
2005-08-24 13:30:00,LARCENY\/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE
2014-06-29 13:26:00,LARCENY\/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE
2015-04-29 10:40:00,LARCENY\/THEFT,PETTY THEFT OF PROPERTY,Wednesday,NORTHERN,NONE
2008-10-27 18:00:00,LARCENY\/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,MISSION,NONE
2010-09-20 12:00:00,FRAUD,CREDIT CARD; THEFT BY USE OF,Monday,SOUTHERN,NONE
2009-02-06 16:05:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,NORTHERN,NOT PROSECUTED
2003-05-14 9:30:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,SOUTHERN,NONE
2003-12-11 10:14:00,ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,BAYVIEW,"ARREST, BOOKED"
2006-12-02 17:00:00,BURGLARY,BURGLARY; FORCIBLE ENTRY,Saturday,SOUTHERN,NONE
2012-10-31 14:52:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,SOUTHERN,NONE
2011-10-04 13:36:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,TENDERLOIN,"ARREST, CITED"
2012-02-11 12:00:00,NON-CRIMINAL,LOST PROPERTY,Saturday,NORTHERN,NONE
2010-01-26 12:15:00,VEHICLE THEFT,STOLEN TRUCK,Tuesday,CENTRAL,NONE
2007-05-16 8:30:00,BURGLARY,BURGLARY OF RESIDENCE; FORCIBLE ENTRY,Wednesday,NORTHERN,NONE
2009-04-27 11:33:00,DRUG\/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,SOUTHERN,"ARREST, BOOKED"
2004-08-07 7:14:00,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,BAYVIEW,"ARREST, CITED"
2012-09-09 22:49:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,SOUTHERN,NONE
2010-02-22 1:04:00,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Monday,SOUTHERN,"ARREST, CITED"
2012-10-06 0:01:00,SEX OFFENSES FORCIBLE,ASSAULT TO RAPE WITH BODILY FORCE,Saturday,SOUTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE
2009-01-10 22:44:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM OF VEHICLES,Saturday,PARK,NONE
2014-05-17 9:24:00,WARRANTS,PROBATION SEARCH,Saturday,SOUTHERN,"ARREST, BOOKED"
2011-03-23 8:00:00,FRAUD,CREDIT CARD; THEFT BY USE OF,Wednesday,NORTHERN,NONE
2014-04-20 3:31:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Sunday,MISSION,"ARREST, BOOKED"
2007-06-29 13:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,NORTHERN,NONE
2007-01-09 10:00:00,FRAUD,TRICK AND DEVICE; GRAND THEFT,Tuesday,PARK,"ARREST, BOOKED"
2006-11-17 18:30:00,LARCENY\/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE
2013-11-12 22:00:00,LARCENY\/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE
2009-05-13 20:19:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,PARK,"ARREST, BOOKED"
2004-08-18 21:00:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM OF VEHICLES,Wednesday,BAYVIEW,NONE
2010-03-11 23:00:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM,Thursday,PARK,NONE
2009-02-08 22:21:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM,Sunday,TENDERLOIN,NONE
2011-12-04 11:00:00,NON-CRIMINAL,LOST PROPERTY,Sunday,BAYVIEW,NONE
2014-05-17 2:30:00,ROBBERY,ROBBERY; BODILY FORCE,Saturday,BAYVIEW,NONE
2007-01-26 9:30:00,NON-CRIMINAL,LOST PROPERTY,Friday,BAYVIEW,NONE
2014-07-10 10:45:00,FORGERY\/COUNTERFEITING,FORGERY; NOTES,Thursday,NORTHERN,NONE
2007-05-02 8:37:00,WEAPON LAWS,POSS OF LOADED FIREARM,Wednesday,TENDERLOIN,"ARREST, BOOKED"
2003-05-31 19:00:00,VEHICLE THEFT,VEHICLE; RECOVERED; OTHER VEHICLE,Saturday,SOUTHERN,NONE
2014-11-14 22:00:00,LARCENY\/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,RICHMOND,NONE
2007-08-22 23:15:00,LARCENY\/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE
2008-11-14 19:50:00,ROBBERY,ROBBERY; BODILY FORCE,Friday,NORTHERN,NONE
2012-11-03 21:00:00,LARCENY\/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,NORTHERN,NONE
2012-04-07 3:05:00,ASSAULT,BATTERY WITH SERIOUS INJURIES,Saturday,PARK,"ARREST, BOOKED"
2013-02-04 18:50:00,WEAPON LAWS,POSSESSION OF AIR GUN,Monday,RICHMOND,JUVENILE BOOKED
2013-08-05 19:50:00,NON-CRIMINAL,AIDED CASE; MENTAL DISTURBED,Monday,BAYVIEW,PSYCHOPATHIC CASE
2010-05-22 3:39:00,DRUG\/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Saturday,NORTHERN,"ARREST, BOOKED"
2013-02-05 18:45:00,LARCENY\/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,NORTHERN,NONE
2014-01-07 13:55:00,OTHER OFFENSES,DRIVERS LICENSE; SUSPENDED OR REVOKED,Tuesday,SOUTHERN,"ARREST, CITED"
2009-06-08 20:00:00,LARCENY\/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE
2014-10-13 14:00:00,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Monday,INGLESIDE,NONE
2014-02-09 4:00:00,BURGLARY,BURGLARY; HOT PROWL; UNLAWFUL ENTRY,Sunday,CENTRAL,NONE
2005-03-24 11:45:00,VEHICLE THEFT,VEHICLE; RECOVERED; AUTO,Thursday,MISSION,NONE
2006-02-09 0:49:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,CENTRAL,NONE
2006-01-28 0:30:00,ROBBERY,ROBBERY ON THE STREET; STRONGARM,Saturday,PARK,NONE
2012-10-15 6:44:00,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Monday,PARK,"ARREST, BOOKED"
2004-02-02 19:00:00,FRAUD,TRICK AND DEVICE; PETTY THEFT,Monday,NORTHERN,NONE
2003-08-09 18:00:00,LARCENY\/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
2013-02-18 14:03:00,ASSAULT,THREATENING PHONE CALL(S),Monday,MISSION,NONE
2012-06-13 4:45:00,OTHER OFFENSES,PROBATION VIOLATION,Wednesday,SOUTHERN,"ARREST, BOOKED"
2003-03-18 18:00:00,OTHER OFFENSES,PROBATION VIOLATION,Tuesday,SOUTHERN,"ARREST, BOOKED"
2005-06-15 5:00:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,NORTHERN,NONE
2014-01-06 10:30:00,FORGERY\/COUNTERFEITING,FORGERY; NOTES,Monday,BAYVIEW,NONE
2003-09-01 16:00:00,VEHICLE THEFT,VEHICLE; RECOVERED; AUTO,Monday,BAYVIEW,NONE
2004-10-27 20:30:00,DRUG\/NARCOTIC,POSSESSION OF BASE\/ROCK COCAINE FOR SALE,Wednesday,TENDERLOIN,"ARREST, BOOKED"
2011-05-04 4:28:00,ASSAULT,STALKING,Wednesday,CENTRAL,NONE
2007-02-22 22:30:00,NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE
2006-02-09 16:00:00,LARCENY\/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
2010-07-04 1:04:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL; W\/INJURY,Sunday,NORTHERN,"ARREST, CITED"
2011-06-14 13:01:00,WARRANTS,WARRANT ARREST,Tuesday,SOUTHERN,"ARREST, CITED"
2006-05-21 7:30:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM OF VEHICLES,Sunday,SOUTHERN,NONE
2009-01-25 15:00:00,LARCENY\/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE
2014-01-25 1:45:00,LARCENY\/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,NORTHERN,NONE
2014-06-13 19:15:00,LARCENY\/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Friday,SOUTHERN,NONE
2011-07-11 13:00:00,LARCENY\/THEFT,PETTY THEFT OF PROPERTY,Monday,SOUTHERN,NONE
2010-05-09 17:00:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM,Sunday,CENTRAL,NONE
2008-02-18 7:00:00,LOITERING,LOITERING,Monday,MISSION,"ARREST, CITED"
2006-05-19 11:45:00,LARCENY\/THEFT,PETTY THEFT FROM A BUILDING,Friday,INGLESIDE,NONE
2006-02-12 6:30:00,LARCENY\/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE
2005-12-28 2:40:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM,Wednesday,TARAVAL,NONE
2007-11-15 10:00:00,ASSAULT,BATTERY,Thursday,NORTHERN,NONE
2003-08-04 17:30:00,LARCENY\/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE
2006-11-29 14:05:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,SOUTHERN,"ARREST, BOOKED"
2009-08-05 22:45:00,OTHER OFFENSES,DRIVERS LICENSE; SUSPENDED OR REVOKED,Wednesday,INGLESIDE,"ARREST, CITED"
2009-02-19 19:00:00,LARCENY\/THEFT,GRAND THEFT BICYCLE,Thursday,NORTHERN,NONE
2009-03-19 16:48:00,DRUG\/NARCOTIC,TRANSPORTATION OF COCAINE,Thursday,BAYVIEW,"ARREST, BOOKED"
2013-12-15 1:53:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,TARAVAL,"ARREST, CITED"
2012-11-04 8:30:00,NON-CRIMINAL,DEATH REPORT; CAUSE UNKNOWN,Sunday,RICHMOND,NONE
2010-01-17 19:00:00,ROBBERY,ROBBERY OF A RESIDENCE WITH A GUN,Sunday,INGLESIDE,NONE
2004-08-20 18:00:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM,Friday,MISSION,NONE
2012-06-01 21:30:00,LARCENY\/THEFT,PETTY THEFT OF PROPERTY,Friday,SOUTHERN,NONE
2004-07-23 2:24:00,WARRANTS,WARRANT ARREST,Friday,CENTRAL,"ARREST, BOOKED"
2007-10-07 1:22:00,LARCENY\/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,SOUTHERN,"ARREST, BOOKED"
2003-06-11 23:30:00,ASSAULT,BATTERY,Wednesday,MISSION,NONE
2013-01-26 9:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,NORTHERN,NONE
2012-10-17 8:00:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM,Wednesday,TARAVAL,NONE
2004-10-26 10:43:00,TRESPASS,TRESPASSING,Tuesday,TENDERLOIN,"ARREST, CITED"
2007-04-04 10:09:00,OTHER OFFENSES,PAROLE VIOLATION,Wednesday,SOUTHERN,"ARREST, BOOKED"
2014-10-27 19:10:00,LARCENY\/THEFT,THEFT; BICYCLE; <$50; NO SERIAL NUMBER,Monday,RICHMOND,NONE
2011-12-15 12:00:00,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Thursday,PARK,NONE